Emergency Requests,Non-Emergency Requests
Tornado or hurricane causing damage to roof or windows in extreme weather,Slow ice maker in the refrigerator in the bathroom
No heat in the middle of winter and its 20F outside in the bathroom,Loose outlet cover in the living room on the second floor
Main building water supply shut off in the bathroom,Minor drywall cracks on the second floor
Broken exterior window on the ground floor in the living room,Small ceiling stain from a leak that has already been repaired in the living room
Broken exterior window on the ground floor in the bathroom,Ceiling fan wobbling on low speed in extreme weather
Resident stuck in a malfunctioning elevator in extreme weather,Loose door handle in the bedroom on the second floor
Large tree branch blocking an entrance in extreme weather,Refrigerator making unusual noises but still functional in extreme weather
Broken exterior window on the ground floor in extreme weather,Non-essential kitchen light flickering in the bathroom
Broken lock on the front door in the living room,Balcony railing slightly wobbly but secure in the living room
Air conditioning fails in extreme heat (over 90°F) in extreme weather,Leaky faucet in the kitchen in the living room
Water heater burst flooding the basement on the second floor,Slow ice maker in the refrigerator in the living room
Broken lock on the front door in extreme weather,Loose tile in the bathroom in extreme weather
Hot water completely out for the entire building in extreme weather,Loose cabinet hinge on the second floor
Broken furnace in freezing temperatures in the bathroom,Closet door off track for multiple units
Water heater burst flooding the basement in the bathroom,Burned out light bulb in hallway in the bathroom
Severe structural damage discovered after an earthquake for multiple units,Leaky faucet in the kitchen in the bathroom
Burst sewer pipe flooding outdoor common areas in the living room,Minor leak from faucet handle in the bathroom
Large tree branch blocking an entrance in extreme weather,Loose tile in the bathroom in the living room
Water heater leaking rapidly into a common area in extreme weather,Refrigerator making unusual noises but still functional for multiple units
Broken furnace in freezing temperatures for multiple units,Balcony railing slightly wobbly but secure for multiple units
Resident stuck in a malfunctioning elevator in the living room,Loose door handle in the bedroom in the bathroom
Broken security gate preventing closure in the bathroom,Missing or cracked caulk in the shower on the second floor
Elevator malfunction causing doors to remain open on the second floor,Loose tile in the bathroom on the second floor
Major roof leak during a storm in extreme weather,Refrigerator making unusual noises but still functional in extreme weather
Tornado or hurricane causing damage to roof or windows in the bathroom,Toilet running continuously but not causing flooding in the living room
Burst sewer pipe flooding outdoor common areas in the living room,Minor leak from faucet handle on the second floor
Large tree branch blocking an entrance for multiple units,Slow drain in the kitchen sink in the bathroom
Resident stuck in a malfunctioning elevator in the living room,Air conditioning unit making loud noises but cooling for multiple units
Broken furnace in freezing temperatures in the living room,Loose door handle in the bedroom for multiple units
Major roof leak during a storm in the living room,Non-essential kitchen light flickering on the second floor
No heat in the middle of winter and its 20F outside in the bathroom,Loose door handle in the bedroom on the second floor
Broken security gate preventing closure in the bathroom,Minor leak from faucet handle for multiple units
Large tree branch blocking an entrance for multiple units,Non-essential kitchen light flickering in the living room
Carbon monoxide detected in multiple units on the second floor,Air conditioning unit making loud noises but cooling in the living room
Electrical wires exposed after a wall accident in the living room,Chipped paint on a common area wall in the bathroom
Large tree branch blocking an entrance in the bathroom,Non-essential kitchen light flickering for multiple units
Water heater burst flooding the basement in the bathroom,Closet door off track on the second floor
Water heater burst flooding the basement in extreme weather,Minor ant problem in the kitchen in the living room
Basement flooded due to broken sump pump on the second floor,Burned out light bulb in hallway in the living room
Water heater leaking rapidly into a common area for multiple units,Non-essential kitchen light flickering in the living room
Major roof leak during a storm on the second floor,Missing or cracked caulk in the shower in the bathroom
Broken furnace in freezing temperatures in the bathroom,Dishwasher not draining properly but still functioning in the bathroom
Resident unable to exit their apartment due to door malfunction for multiple units,Missing or cracked caulk in the shower on the second floor
Hot water completely out for the entire building in the living room,Toilet running continuously but not causing flooding on the second floor
Air conditioning fails in extreme heat (over 90°F) in the living room,Air conditioning unit making loud noises but cooling for multiple units
Resident stuck in a malfunctioning elevator for multiple units,Loose tile in the bathroom in extreme weather
Electrical wires exposed after a wall accident on the second floor,Air conditioning unit making loud noises but cooling for multiple units
Air conditioning fails in extreme heat (over 90°F) in extreme weather,Minor ant problem in the kitchen on the second floor
Broken furnace in freezing temperatures for multiple units,Chipped paint on a common area wall for multiple units
Air conditioning fails in extreme heat (over 90°F) in extreme weather,Loose outlet cover in the living room in the bathroom
Elevator malfunction causing doors to remain open for multiple units,Closet door off track in the bathroom
No heat in the middle of winter and its 20F outside on the second floor,Patio door sticks but still opens and closes in the living room
Broken security gate preventing closure on the second floor,Air conditioning unit making loud noises but cooling in the living room
Major roof leak during a storm on the second floor,Patio door sticks but still opens and closes on the second floor
Tornado or hurricane causing damage to roof or windows for multiple units,Burned out light bulb in hallway in the living room
Burst sewer pipe flooding outdoor common areas for multiple units,Patio door sticks but still opens and closes on the second floor
Major roof leak during a storm in the bathroom,Missing or cracked caulk in the shower in the bathroom
Electrical wires exposed after a wall accident for multiple units,Patio door sticks but still opens and closes in the bathroom
"Fire alarm pulled, but no visible fire or smoke in extreme weather",Balcony railing slightly wobbly but secure on the second floor
No heat in the middle of winter and its 20F outside in the bathroom,Toilet running continuously but not causing flooding on the second floor
Water heater burst flooding the basement in the bathroom,Leaky faucet in the kitchen in the living room
Resident unable to exit their apartment due to door malfunction on the second floor,Ceiling fan wobbling on low speed in the living room
Major roof leak during a storm in extreme weather,Air conditioning unit making loud noises but cooling in the bathroom
Air conditioning fails in extreme heat (over 90°F) on the second floor,Loose cabinet hinge on the second floor
Water heater burst flooding the basement on the second floor,Closet door off track in the living room
Burst sewer pipe flooding outdoor common areas on the second floor,Minor leak from faucet handle on the second floor
Water heater burst flooding the basement in extreme weather,Loose cabinet hinge in the living room
Basement flooded due to broken sump pump for multiple units,Dishwasher not draining properly but still functioning in the living room
Broken lock on the front door in the bathroom,Leaky faucet in the kitchen in the living room
Electrical outlet sparking and smoking in extreme weather,Chipped paint on a common area wall for multiple units
Carbon monoxide detected in multiple units in extreme weather,Minor ant problem in the kitchen in the bathroom
Electrical outlet sparking and smoking for multiple units,Toilet running continuously but not causing flooding in extreme weather
Electrical wires exposed after a wall accident in extreme weather,Loose tile in the bathroom for multiple units
Carbon monoxide detected in multiple units in the bathroom,Closet door off track in extreme weather
Water heater burst flooding the basement in the living room,Closet door off track in extreme weather
Main building water supply shut off in the bathroom,Dishwasher not draining properly but still functioning on the second floor
Elevator malfunction causing doors to remain open for multiple units,Small ceiling stain from a leak that has already been repaired for multiple units
Air conditioning fails in extreme heat (over 90°F) on the second floor,Burned out light bulb in hallway in the bathroom
Hot water completely out for the entire building in the bathroom,Minor drywall cracks for multiple units
Gas leak detected in the kitchen on the second floor,Refrigerator making unusual noises but still functional in the bathroom
Resident stuck in a malfunctioning elevator in extreme weather,Dishwasher not draining properly but still functioning in extreme weather
Smoke detector malfunctioning and won't stop alarming in the bathroom,Dishwasher not draining properly but still functioning on the second floor
Broken furnace in freezing temperatures in the living room,Leaky faucet in the kitchen in extreme weather
Resident stuck in a malfunctioning elevator in extreme weather,Minor leak from faucet handle in extreme weather
Carbon monoxide detected in multiple units in the bathroom,Refrigerator making unusual noises but still functional in the bathroom
Broken security gate preventing closure in the bathroom,Loose tile in the bathroom for multiple units
Broken lock on the front door for multiple units,Stuck bathroom exhaust fan on the second floor
Broken exterior window on the ground floor in extreme weather,Stuck bathroom exhaust fan in the bathroom
Broken furnace in freezing temperatures in extreme weather,Closet door off track in the living room
Broken furnace in freezing temperatures in the bathroom,Refrigerator making unusual noises but still functional in the living room
